date,lunar_date,day_of_week,month,is_holiday,weather_condition,temperature,voucher_active,number_of_guests
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,35,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
2025-05-31,5/5,Saturday,5,1,Clouds,34,0,0
